,noise_level,ari,size_mod0,size_mod1,size_mod2,size_mod3,size_mod4,size_mod5,size_mod6,size_mod7,size_mod8,size_mod9,size_mod10,size_mod11,size_mod12,size_mod13,size_mod14,size_mod15,size_mod16,size_mod17,size_mod18,size_mod19
179,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
180,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
181,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
182,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
183,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
184,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
185,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
186,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
187,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
188,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
189,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
190,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
